City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Lagoa,PT,39.05,-27.9833,63.37,73,100,10.65,overcast clouds
120,Colac,AU,-38.3333,143.5833,55.17,57,6,9.55,clear sky
121,Goderich,CA,43.7501,-81.7165,75.52,60,100,5.75,overcast clouds
122,Belmonte,BR,-15.8631,-38.8828,70.59,86,10,7.67,clear sky
123,Flin Flon,CA,54.7682,-101.865,53.92,61,70,5.97,broken clouds
124,Metro,ID,-5.1131,105.3067,88.5,60,35,3.78,scattered clouds
125,Yellowknife,CA,62.456,-114.3525,64.92,42,20,4.61,few clouds
126,La Ronge,CA,55.1001,-105.2842,62.85,55,20,5.75,few clouds
127,Aiken,US,33.5835,-81.5998,78.12,98,0,0.0,clear sky
128,Basco,PH,20.4487,121.9702,84.09,76,100,11.54,overcast clouds
129,Nortelandia,BR,-14.4547,-56.8028,68.23,48,79,4.74,broken clouds
130,Yar-Sale,RU,66.8333,70.8333,49.06,84,100,15.37,overcast clouds
131,Cherskiy,RU,68.75,161.3,72.01,37,100,15.17,overcast clouds
132,Victoria,HK,22.2855,114.1577,87.19,79,100,17.0,moderate rain
133,Acajutla,SV,13.5928,-89.8275,79.12,85,100,9.51,moderate rain
134,Portland,US,45.5234,-122.6762,71.58,62,17,1.01,few clouds
135,Faanui,PF,-16.4833,-151.75,79.48,74,52,11.41,light rain
136,Daru,PG,-9.0763,143.2092,80.53,83,74,10.07,broken clouds
137,Azul,AR,-36.777,-59.8585,38.34,51,0,6.67,clear sky
138,Souillac,MU,-20.5167,57.5167,70.18,73,75,11.5,light rain
139,Campoverde,PE,-8.4753,-74.8058,76.69,68,46,1.21,scattered clouds
140,Laguna,US,38.421,-121.4238,78.78,62,75,11.5,broken clouds
141,Kodiak,US,57.79,-152.4072,60.31,77,100,3.44,overcast clouds
142,Katsuura,JP,35.1333,140.3,76.23,85,100,19.98,moderate rain
143,Ribeira Grande,PT,38.5167,-28.7,64.85,69,99,11.1,overcast clouds
144,Katsina,NG,12.9894,7.6006,77.94,61,91,11.48,overcast clouds
145,Grand Gaube,MU,-20.0064,57.6608,73.38,67,82,7.0,broken clouds
146,Alofi,NU,-19.0595,-169.9187,75.09,78,99,17.27,overcast clouds
147,Komsomolskiy,UZ,40.4272,71.7189,83.12,14,0,18.41,clear sky
148,Tuatapere,NZ,-46.1333,167.6833,49.57,77,64,13.4,broken clouds
149,Broken Hill,AU,-31.95,141.4333,55.45,46,0,14.34,clear sky
150,Trinidad,BO,-14.8333,-64.9,75.25,61,100,3.38,overcast clouds
151,Yerbogachen,RU,61.2767,108.0108,69.4,53,100,5.5,overcast clouds
152,Pevek,RU,69.7008,170.3133,47.59,68,15,2.75,few clouds
153,Husavik,IS,66.0449,-17.3389,43.21,89,97,8.48,overcast clouds
154,Atar,MR,20.5169,-13.0499,88.59,22,3,7.72,clear sky
155,Qiqihar,CN,47.3408,123.9672,88.34,52,92,8.84,overcast clouds
156,Dikson,RU,73.5069,80.5464,35.46,98,100,2.1,overcast clouds
157,Kaitangata,NZ,-46.2817,169.8464,51.3,63,18,15.5,few clouds
158,Challans,FR,46.8436,-1.8749,52.72,94,3,9.62,clear sky
159,Walvis Bay,NA,-22.9575,14.5053,54.09,93,100,9.22,overcast clouds
160,Ancud,CL,-41.8697,-73.8203,43.23,76,83,21.85,light rain
161,Vestmannaeyjar,IS,63.4427,-20.2734,48.9,81,69,4.7,broken clouds
162,Tura,IN,25.5198,90.2201,88.7,64,98,2.33,overcast clouds
163,Lasa,IT,46.6166,10.7002,63.48,87,87,4.74,overcast clouds
164,Flinders,AU,-34.5833,150.8552,57.18,89,100,5.01,light rain
165,Plymouth,US,41.8334,-70.8328,69.66,69,0,4.61,clear sky
166,Sao Filipe,CV,14.8961,-24.4956,73.38,81,15,7.36,few clouds
167,Cerete,CO,8.8848,-75.7905,76.98,100,40,3.44,scattered clouds
168,Sisimiut,GL,66.9395,-53.6735,44.1,95,100,3.4,light rain
169,Leningradskiy,RU,69.3833,178.4167,50.29,65,33,7.83,scattered clouds
170,Jumla,NP,29.2747,82.1838,80.17,56,37,5.95,scattered clouds
171,Bredasdorp,ZA,-34.5322,20.0403,46.44,91,0,2.33,clear sky
172,Westport,US,41.1415,-73.3579,73.22,77,0,4.61,clear sky
